model,target,fold,held_out_pid,n_train_rows,n_test_rows,mae,r2
tuned_elasticnet,ohs,10,10,952,56,8.743,-2.6184
tuned_elasticnet,oks,10,10,952,56,3.8787,-0.2859
rf,sis,10,10,952,56,5.5021,-24.97
rf,ohs,10,10,952,56,9.0104,-2.6041
rf,oks,10,10,952,56,16.2552,-21.079
lgbm,sis,10,10,952,56,4.9453,-21.1745
lgbm,ohs,10,10,952,56,9.7019,-3.6259
lgbm,oks,10,10,952,56,16.7372,-22.3773
baseline_demo_ridge,sis,11,11,952,56,6.3481,-7.3269
baseline_demo_ridge,ohs,11,11,952,56,17.85,-57.9312
baseline_demo_ridge,oks,11,11,952,56,11.7318,-8.2478
baseline_naive_mean,sis,11,11,952,56,5.1471,-4.8168
baseline_naive_mean,ohs,11,11,952,56,17.8235,-57.7597
baseline_naive_mean,oks,11,11,952,56,15.3824,-14.1793
ridge_sensor_demo,sis,11,11,952,56,9.197,-59.0516
ridge_sensor_demo,ohs,11,11,952,56,30.0606,-760.7943
ridge_sensor_demo,oks,11,11,952,56,25.5795,-150.0299
tuned_ridge,sis,11,11,952,56,8.9238,-34.1975
tuned_ridge,ohs,11,11,952,56,19.3769,-164.3511
tuned_ridge,oks,11,11,952,56,17.5751,-72.6581
tuned_elasticnet,sis,11,11,952,56,5.9537,-8.1296
tuned_elasticnet,ohs,11,11,952,56,15.8759,-47.044
tuned_elasticnet,oks,11,11,952,56,12.4823,-10.2412
rf,sis,11,11,952,56,2.1723,-0.8472
rf,ohs,11,11,952,56,24.8989,-112.7662
rf,oks,11,11,952,56,16.0025,-15.8337
lgbm,sis,11,11,952,56,2.6925,-1.2103
lgbm,ohs,11,11,952,56,25.155,-115.4479
lgbm,oks,11,11,952,56,16.4289,-17.014
baseline_demo_ridge,sis,12,12,952,56,3.5777,-68.268
baseline_demo_ridge,ohs,12,12,952,56,6.25,-0.0211
baseline_demo_ridge,oks,12,12,952,56,4.25,-0.0958
baseline_naive_mean,sis,12,12,952,56,5.1765,-142.9112
baseline_naive_mean,ohs,12,12,952,56,6.25,-0.2183
baseline_naive_mean,oks,12,12,952,56,9.5,-3.146
ridge_sensor_demo,sis,12,12,952,56,3.5377,-81.996
ridge_sensor_demo,ohs,12,12,952,56,7.8175,-0.855
