model,target,fold,held_out_pid,mae,r2
lgbm,sis_delta,13,13,3.8833,-3.0859
lgbm,ohs_delta,13,13,5.2992,-8.7982
lgbm,oks_delta,13,13,5.6832,-1.7767
baseline_naive_mean,sis_delta,14,14,1.0,-0.7275
baseline_naive_mean,ohs_delta,14,14,3.3456,-0.0142
baseline_naive_mean,oks_delta,14,14,2.3235,-2.468
tuned_ridge,sis_delta,14,14,14.3362,-395.0688
tuned_ridge,ohs_delta,14,14,9.5582,-13.2248
tuned_ridge,oks_delta,14,14,36.6866,-1195.2512
tuned_elasticnet,sis_delta,14,14,0.9724,-0.5824
tuned_elasticnet,ohs_delta,14,14,2.785,0.0653
tuned_elasticnet,oks_delta,14,14,2.3257,-2.4715
rf,sis_delta,14,14,2.1565,-4.2813
rf,ohs_delta,14,14,2.5886,0.2867
rf,oks_delta,14,14,2.4045,-2.9103
lgbm,sis_delta,14,14,1.9704,-3.5612
lgbm,ohs_delta,14,14,2.1833,0.475
lgbm,oks_delta,14,14,1.8816,-2.2643
baseline_naive_mean,sis_delta,15,15,1.8309,-0.0517
baseline_naive_mean,ohs_delta,15,15,1.6985,-0.6015
baseline_naive_mean,oks_delta,15,15,1.5662,-0.8736
tuned_ridge,sis_delta,15,15,2.7235,-0.796
tuned_ridge,ohs_delta,15,15,2.7291,-4.2463
tuned_ridge,oks_delta,15,15,2.8002,-4.6979
tuned_elasticnet,sis_delta,15,15,1.7942,-0.105
tuned_elasticnet,ohs_delta,15,15,1.6566,-0.5166
tuned_elasticnet,oks_delta,15,15,1.5209,-0.7631
rf,sis_delta,15,15,2.6327,-0.2976
rf,ohs_delta,15,15,2.0589,-1.5517
rf,oks_delta,15,15,2.5806,-4.5072
lgbm,sis_delta,15,15,2.5945,-0.2566
lgbm,ohs_delta,15,15,2.2553,-2.2294
lgbm,oks_delta,15,15,2.5798,-3.7638
baseline_naive_mean,sis_delta,16,16,1.375,-0.2712
baseline_naive_mean,ohs_delta,16,16,2.7279,-0.8555
baseline_naive_mean,oks_delta,16,16,5.2353,-2.674
tuned_ridge,sis_delta,16,16,4.7214,-9.54
tuned_ridge,ohs_delta,16,16,5.4108,-7.5782
tuned_ridge,oks_delta,16,16,4.8333,-2.1901
tuned_elasticnet,sis_delta,16,16,1.3379,-0.274
tuned_elasticnet,ohs_delta,16,16,2.6907,-0.7986
tuned_elasticnet,oks_delta,16,16,5.3581,-2.8013
rf,sis_delta,16,16,2.2177,-1.4454
rf,ohs_delta,16,16,2.4492,-0.1728
rf,oks_delta,16,16,4.6157,-2.1111
lgbm,sis_delta,16,16,2.9107,-2.3059
lgbm,ohs_delta,16,16,2.4654,-0.3497
lgbm,oks_delta,16,16,4.026,-0.9594
baseline_naive_mean,sis_delta,17,17,1.5,-0.6949
baseline_naive_mean,ohs_delta,17,17,1.5,-0.0453
baseline_naive_mean,oks_delta,17,17,4.5,-0.563
tuned_ridge,sis_delta,17,17,3.1653,-4.8176
tuned_ridge,ohs_delta,17,17,5.0892,-13.2947
tuned_ridge,oks_delta,17,17,10.2412,-5.5405
tuned_elasticnet,sis_delta,17,17,1.512,-0.7472
tuned_elasticnet,ohs_delta,17,17,1.4762,-0.015
tuned_elasticnet,oks_delta,17,17,4.4995,-0.5437
rf,sis_delta,17,17,1.7378,-1.0103
rf,ohs_delta,17,17,5.8839,-17.5232
rf,oks_delta,17,17,7.6722,-2.3738
lgbm,sis_delta,17,17,1.9303,-1.034
lgbm,ohs_delta,17,17,6.4301,-16.2007
lgbm,oks_delta,17,17,7.8057,-2.9727
baseline_naive_mean,sis_delta,18,18,1.6985,-1.6076
baseline_naive_mean,ohs_delta,18,18,0.75,-0.0113
baseline_naive_mean,oks_delta,18,18,1.75,-0.4563
tuned_ridge,sis_delta,18,18,6.0651,-27.2397
tuned_ridge,ohs_delta,18,18,3.2994,-26.9961
tuned_ridge,oks_delta,18,18,3.4165,-3.9737
tuned_elasticnet,sis_delta,18,18,1.6976,-1.5846
tuned_elasticnet,ohs_delta,18,18,0.7902,-0.189
tuned_elasticnet,oks_delta,18,18,1.778,-0.4872
rf,sis_delta,18,18,2.4365,-3.4943
rf,ohs_delta,18,18,2.3664,-8.4619
rf,oks_delta,18,18,3.645,-3.2477
lgbm,sis_delta,18,18,3.0172,-5.7921
lgbm,ohs_delta,18,18,1.3813,-2.5659
lgbm,oks_delta,18,18,2.9737,-1.9665
